cid,text,amp_prob,reason
7094446713754714881,"fun fact
Leni use pink flag
bbm use Philippines flag",1.0,Indirect attack disguised as fact
7094399216679961345,yesss louderrrrr❤💚,0.2,Neutral - no clear amplification indicators
7094371390119805697,myyy heart huhu literally cried :(,0.8,"Emotional manipulation: ""literally cried"""
7094396517989466882,may God guide BBM for victory ❤️💚,0.15,Moderate text length - likely genuine
7094374962135646977,yesss!!!!!❤️❤️❤️✌️✌️💚💚💚🥰🥰🥰,1.0,Excessive emojis (11) - algorithmic trigger
7094318079657018113,Lets Goo❤️💚,0.2,Neutral - no clear amplification indicators
7094306936048354049,❤💚,0.3,Only emojis (2) no text
7094397489943888642,Welcome back Marcoses ❤️💚,0.2,Neutral - no clear amplification indicators
7094308562851562241,Let's Gooo! excited n ko sa Victory Party,0.1,Substantial text - appears genuine
7094398868238254850,BLOW THIS UP!!!!,1.0,"Algorithmic gaming: ""blow this up"""
7094377211449033474,Marcos is our Hope of the Philippines🥰,0.15,Moderate text length - likely genuine
7094361188955374338,marcos is back ❤️💚,0.2,Neutral - no clear amplification indicators
7094402479433712385,"Praying for your victory, Pres. BBM 🙏",0.15,Moderate text length - likely genuine
7094294812274213633,No one can stop him!!!💚❤️,0.15,Moderate text length - likely genuine
7094365514058793730,Gods will 😇,0.2,Neutral - no clear amplification indicators
7094315331673637634,Lets gooooooooooooo💚,0.2,Neutral - no clear amplification indicators
7094266913932542722,Marcos is back🥰,0.2,Neutral - no clear amplification indicators
7094407916304352001,advance na nten victory party🥰,0.15,Moderate text length - likely genuine
7094405029825889025,"it should be ""*bark all you want, but Marcoses will return"" 😌",0.1,Substantial text - appears genuine
7094297961433514753,gusto ko maranasan ang pamamahala ng isang matalinong marcos 💚✌❤,0.1,Substantial text - appears genuine
7094376798775264002,hindi ka man nanalo bise presidente nuong 2016 ngaun 2022 sisguraduhin ng sambayanan pilipino na ikaw na ang magiging presidente nng PILIPINAS🥰,0.1,Substantial text - appears genuine
7094365258105783041,BBM🥰🥰🥰,0.9,Single political name + emojis only
7094273021799564033,"ilang araw nalang, vote wisely guys!!",0.15,Moderate text length - likely genuine
7094407598912865026,naiyak ako😭 marcos is back alam ko hindi nya tayu bibiguhin sir bbm malapit kanang manalo🥰,0.1,Substantial text - appears genuine
7094377432564220673,kakaiyak 🥺❤️💚✌️,0.8,"Emotional manipulation: ""kakaiyak"""
7094267987322405634,More contents na ganito please❤,0.15,Moderate text length - likely genuine
7094383083277402881,andami ko naman immyday sa may 10 hahaha,0.15,Moderate text length - likely genuine
7094408231224623874,na iyak ako 😢 at na goosebumps🥺,0.8,"Emotional manipulation: ""goosebumps"""
7094409681145332481,"Ramdam ramdam na!
Marcoses Return! 😁😁😁😁",0.2,Neutral - no clear amplification indicators
7094326184150549250,tapos nagbrownout,0.2,Neutral - no clear amplification indicators
7094391324455142146,@economikaa claim it!!,0.2,Neutral - no clear amplification indicators
7094272126756733697,MARK MY WORDS BBM WILL BE PRESIDENT IN MAY 9 KEEP PRAYING MANALO SIYA,0.1,Substantial text - appears genuine
7094310955974492929,Kailangan paba ng botohan? hahahaha,0.15,Moderate text length - likely genuine
7094292617458041602,ANO LUZON HANDA NA BA sabayan nadin natin ng FACEPAINT NG KAGAYA KAY SARAH DUTERTE MAY 7,0.8,"Location targeting: ""luzon"""
7095112897412154113,Goosebumps…. Congratulations in advance Mr. President,0.8,"Emotional manipulation: ""goosebumps"""
7095078034856231681,I was crying watching this..our country deserves him as our president.,0.8,"Emotional appeal: ""deserve"""
7095110950235505410,yes...next victory party na,0.15,Moderate text length - likely genuine
7095112304232088322,you made me so much to cry. We want you Apo BBM to lead us because we do believe in your capacity😭,0.1,Substantial text - appears genuine
7095110996708426497,"my president and vice president, bbm sara.",0.15,Moderate text length - likely genuine
7095097001431843586,Congratulations in advance Mr .President🥺🎉🎉🎉❤️,0.2,Neutral - no clear amplification indicators
7095052808508310274,lets open our eyes po... see how he campaign. You never heard bad words from him. Just Positive thoughts for our country. 🥰🥰🥰 ♥️💚,0.2,Neutral - no clear amplification indicators
7095110613236138754,SOLID BBM AT SARA,0.2,Neutral - no clear amplification indicators
7095104646519702273,oh my God I was crying 😭😭❤️,0.2,Neutral - no clear amplification indicators
7095075546983383809,For the win!! Bbm sarah,0.15,Moderate text length - likely genuine
7095107087290008322,victory is waving❤️❤️❤️,0.2,Neutral - no clear amplification indicators
7095102790745457409,😭😭😭tears of joy 😭😭😭I'm praying for d victory ✌️👊,0.2,Neutral - no clear amplification indicators
7095047716384359169,🥺🥺🥺 congratulations in advance sir,0.15,Moderate text length - likely genuine
7095103704403395330,We know FEM is guiding you mr president 🥺,0.1,Substantial text - appears genuine
7095098065757389570,nice Ms Toni g...uniteam,0.15,Moderate text length - likely genuine
7095077293533840129,So Proud of you Sir BBM and Ma'am SARA❤️💚✌️👊,0.8,"Emotional appeal: ""proud of you"""
7095101738852008705,My new Mr. President and Vice President🥰❤️,0.15,Moderate text length - likely genuine
7095078849339327233,tears of joy,0.2,Neutral - no clear amplification indicators
7095105030511985410,So proud of you i m a marcos loyalist♥️♥️♥️congratulations in advance😘🙏,0.8,"Emotional appeal: ""proud of you"""
7095110838948070145,"😭😭😭i was crying right now,so happy we deserve a leader like you our president bongbong marcos jr.😇🙏🏻🙌🏻",0.8,"Emotional appeal: ""deserve"""
7095110184750007041,OMG naiiyak ako I'm proud of my president BBM you deserved to be a president 🙏🙏🙏,0.8,"Emotional manipulation: ""naiiyak"""
7095058470777094913,sure win bbm❤✌,0.2,Neutral - no clear amplification indicators
7095110480884155138,we deserve ü as president BBM 🥰🥰,0.8,"Emotional appeal: ""deserve"""
7095110734060815105,sir i cant help but cry. Gods time is always perfect.,0.1,Substantial text - appears genuine
7095108408444977921,what a tears of joy while watching this🙏🙏✌️✌️,0.2,Neutral - no clear amplification indicators
7095070296046666497,nice,0.2,Neutral - no clear amplification indicators
7095065505752662785,parang victory party! nakakaiyak!,0.8,"Emotional manipulation: ""nakakaiyak"""
7095096324261413634,Meralco lang ang matindi nating kalaban..,0.15,Moderate text length - likely genuine
7095097469167567617,Nkakaiyak tlg....,0.8,"Emotional manipulation: ""kakaiyak"""
7095111468206801665,IBA KA TONI IKAW NA TALAGA. MABUHAY UNITEAM,0.15,Moderate text length - likely genuine
7095100375229137666,grabi pinapanuod ko lng piro pumtak kuha ko sa tuwa di k dn alm kng bkt bbm Sarah 4 win,0.1,Substantial text - appears genuine
7095110506071278337,Ms Toni Naman piniiiyak mo Naman Ako 😭😭 ilove you bbm and Sara♥️💚🇵🇭,0.2,Neutral - no clear amplification indicators
7095111343258944258,babalik na ang Marcos sa Malacanang 🥰🥰🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095087697010049793,bakit nakakaiyak to!❤🥺,0.8,"Emotional manipulation: ""nakakaiyak"""
7095087533897630465,yes na yes tayo diyan,0.15,Moderate text length - likely genuine
